Strike,Moneyness,Bid,Mid,Ask,Last,Change,%Chg,Volume,Open Int,OI Chg,IV,Delta,Type,Last Trade,Current Stock Price,Expiry Time (d)
160,21.96%,48.9,49.43,49.95,49.9,unch,unch,1,"3,776",unch,42.41%,0.8913,Call,05/30/25,205.01,111
165,19.52%,44.75,45.03,45.3,44.95,unch,unch,0,577,-2,38.99%,0.8808,Call,05/29/25,,
170,17.08%,40.6,40.75,40.9,40.82,-0.43,-1.04%,40,952,-6,38.27%,0.8544,Call,05/30/25,,
175,14.64%,36.45,36.63,36.8,36.04,-1.34,-3.58%,7,"1,451",-1,37.10%,0.8266,Call,05/30/25,,
180,12.20%,32.5,32.65,32.8,32.95,-0.65,-1.93%,5,"2,742",-38,36.22%,0.7932,Call,05/30/25,,
185,9.76%,28.75,28.85,28.95,27,-2.3,-7.85%,11,"2,512",-13,35.37%,0.7556,Call,05/30/25,,
190,7.32%,25.1,25.25,25.4,25.2,-0.78,-3.00%,45,"5,933",-9,34.42%,0.7141,Call,05/30/25,,
195,4.88%,21.75,21.9,22.05,22.1,-0.29,-1.30%,254,"3,588",-6,33.84%,0.6674,Call,05/30/25,,
200,2.44%,18.7,18.83,18.95,19.2,-0.36,-1.84%,163,"10,710",-43,33.24%,0.6175,Call,05/30/25,,
205,unch,15.85,15.95,16.05,16.25,-0.38,-2.29%,169,"3,565",89,32.53%,0.5651,Call,05/30/25,,
210,-2.43%,13.35,13.43,13.5,13.6,-0.46,-3.27%,546,"10,926",-127,32.04%,0.5109,Call,05/30/25,,
215,-4.87%,11.05,11.15,11.25,11.15,-0.56,-4.78%,108,"3,768",424,31.53%,0.456,Call,05/30/25,,
220,-7.31%,9,9.08,9.15,9.3,-0.25,-2.62%,"1,271","14,437",50,30.88%,0.4007,Call,05/30/25,,
225,-9.75%,7.3,7.35,7.4,7.35,-0.45,-5.77%,104,"6,187",-47,30.45%,0.3478,Call,05/30/25,,
230,-12.19%,5.8,5.88,5.95,5.88,-0.37,-5.92%,229,"4,019",44,30.05%,0.2976,Call,05/30/25,,
235,-14.63%,4.6,4.65,4.7,4.67,-0.33,-6.60%,88,"5,224",904,29.74%,0.2516,Call,05/30/25,,
240,-17.07%,3.6,3.65,3.7,3.7,-0.25,-6.33%,132,"7,744",19,29.57%,0.2108,Call,05/30/25,,
245,-19.51%,2.81,2.85,2.89,2.9,-0.21,-6.75%,33,"2,620",54,29.22%,0.1728,Call,05/30/25,,
250,-21.95%,2.19,2.22,2.26,2.32,-0.1,-4.13%,46,"10,506",50,29.12%,0.1417,Call,05/30/25,,
255,-24.38%,1.7,1.73,1.77,1.83,-0.06,-3.17%,35,"3,845",8,29.08%,0.1155,Call,05/30/25,,
160,-21.96%,2.3,2.33,2.35,2.38,0.06,2.59%,75,"8,172",-71,40.04%,-0.0991,Put,05/30/25,,
165,-19.52%,2.81,2.85,2.89,2.93,0.06,2.09%,577,"10,752",157,38.89%,-0.1201,Put,05/30/25,,
170,-17.08%,3.45,3.5,3.55,3.61,0.09,2.56%,10,"6,718",-4,37.84%,-0.1452,Put,05/30/25,,
175,-14.64%,4.3,4.35,4.4,4.2,-0.2,-4.55%,9,"6,058",2,37.06%,-0.1755,Put,05/30/25,,
180,-12.20%,5.25,5.3,5.35,5.27,0.02,0.38%,28,"11,110",-4,36.02%,-0.2087,Put,05/30/25,,
185,-9.76%,6.4,6.48,6.55,6.4,0.02,0.31%,309,"8,322",12,35.12%,-0.2469,Put,05/30/25,,
190,-7.32%,7.8,7.9,8,7.8,-0.05,-0.64%,54,"5,182",20,34.43%,-0.2907,Put,05/30/25,,
195,-4.88%,9.4,9.48,9.55,9.43,0.03,0.32%,30,"5,117",-1,33.76%,-0.3385,Put,05/30/25,,
200,-2.44%,11.25,11.38,11.5,11.15,-0.15,-1.33%,192,"12,112",-6,33.27%,-0.3899,Put,05/30/25,,
205,unch,13.4,13.53,13.65,13.65,-0.15,-1.09%,219,"2,878",30,32.95%,-0.4441,Put,05/30/25,,
210,2.43%,15.8,15.95,16.1,16.2,0.43,2.73%,43,"4,803",13,32.08%,-0.501,Put,05/30/25,,
215,4.87%,18.5,18.65,18.8,19.7,1.1,5.91%,22,"2,126",5,31.49%,-0.5587,Put,05/30/25,,
220,7.31%,21.45,21.65,21.85,21.1,0.55,2.68%,49,"4,007",-3,30.95%,-0.6178,Put,05/30/25,,
225,9.75%,24.75,24.98,25.2,24,unch,unch,0,"1,298",4,30.54%,-0.6732,Put,05/29/25,,
230,12.19%,28.25,28.58,28.9,28.82,unch,unch,1,"2,017",unch,30.82%,-0.725,Put,05/30/25,,
235,14.63%,32.1,32.48,32.85,31.45,unch,unch,0,788,unch,29.92%,-0.776,Put,05/27/25,,
240,17.07%,36.25,36.53,36.8,40.8,unch,unch,0,484,unch,29.40%,-0.8305,Put,05/23/25,,
245,19.51%,40.6,41.15,41.7,41.95,1.19,2.92%,9,63,3,30.39%,-0.8582,Put,05/30/25,,
250,21.95%,44.5,45.53,46.55,49.3,unch,unch,0,34,unch,29.66%,-0.9088,Put,05/23/25,,
255,24.38%,49,50.3,51.6,54.2,unch,unch,0,6,unch,30.27%,-0.9304,Put,05/23/25,,
Downloaded from Barchart.com as of 06-01-2025 02:20am CDT,,,,,,,,,,,,,,,,
