Strike,Moneyness,Bid,Mid,Ask,Last,Change,%Chg,Volume,Open Int,OI Chg,IV,Delta,Type,Last Trade,Current Stock Price,Expiry Time (d)
"1,195.00",1.88%,34.95,35.93,36.9,35.02,-2.78,-7.35%,7,218,21,25.86%,0.6891,Call,6/03/2025,1217.94,10
"1,197.50",1.68%,32.15,33.88,35.6,35.09,unch,unch,0,36,-2,26.57%,0.6678,Call,6/02/2025,,
"1,200.00",1.47%,31.3,32.2,33.1,32.71,-1.29,-3.79%,"1,131",223,22,27.16%,0.6477,Call,6/03/2025,,
"1,202.50",1.27%,29.65,30.7,31.75,33.74,1.57,4.88%,1,46,22,26.56%,0.6328,Call,6/03/2025,,
"1,205.00",1.06%,27.9,29.03,30.15,28.46,-2.58,-8.31%,18,185,11,25.62%,0.6183,Call,6/03/2025,,
"1,207.50",0.86%,26.4,27.4,28.4,26.05,-3.15,-10.79%,3,75,44,26.16%,0.5979,Call,6/03/2025,,
"1,210.00",0.65%,25.7,26.23,26.75,26.04,-2.16,-7.66%,209,192,15,26.24%,0.5791,Call,6/03/2025,,
"1,212.50",0.45%,23.7,24.6,25.5,27.04,0.69,2.62%,85,52,39,26.17%,0.5606,Call,6/03/2025,,
"1,215.00",0.24%,22.6,23.2,23.8,23.6,-1.72,-6.79%,284,184,2,26.58%,0.5414,Call,6/03/2025,,
"1,217.50",0.04%,21.1,21.73,22.35,22.19,-1.96,-8.12%,296,86,83,26.43%,0.5228,Call,6/03/2025,,
"1,220.00",-0.17%,19.9,20.55,21.2,21.06,-1.29,-5.77%,264,175,64,26.56%,0.5042,Call,6/03/2025,,
"1,222.50",-0.37%,18.65,19.3,19.95,18.75,-2.95,-13.59%,147,28,21,25.17%,0.4839,Call,6/03/2025,,
"1,225.00",-0.58%,17.55,17.9,18.25,18.05,-2.48,-12.08%,195,177,59,25.72%,0.4655,Call,6/03/2025,,
"1,230.00",-0.99%,15.3,15.75,16.2,16.19,-1.66,-9.30%,155,201,62,26.09%,0.4289,Call,6/03/2025,,
"1,235.00",-1.40%,13.25,13.83,14.4,13.86,-1.99,-12.56%,58,91,68,25.62%,0.3901,Call,6/03/2025,,
"1,240.00",-1.81%,11.6,12,12.4,12.3,-1.3,-9.56%,192,258,15,25.91%,0.3559,Call,6/03/2025,,
"1,245.00",-2.22%,10.1,10.43,10.75,10.9,-1.54,-12.38%,29,59,39,25.54%,0.319,Call,6/03/2025,,
"1,250.00",-2.63%,8.5,8.88,9.25,9.2,-1.65,-15.21%,254,298,19,25.85%,0.2884,Call,6/03/2025,,
"1,255.00",-3.04%,7.35,7.7,8.05,7.93,-1.1,-12.18%,41,48,26,25.89%,0.2577,Call,6/03/2025,,
"1,260.00",-3.45%,6.35,6.63,6.9,6.5,-1.45,-18.24%,96,119,11,25.42%,0.2243,Call,6/03/2025,,
"1,195.00",-1.88%,10.45,10.73,11,10.57,-1.93,-15.44%,77,220,-2,25.67%,-0.3112,Put,6/03/2025,,
"1,197.50",-1.68%,10.95,11.4,11.85,10.85,-3.15,-22.50%,31,64,43,25.66%,-0.3288,Put,6/03/2025,,
"1,200.00",-1.47%,12,12.3,12.6,12.15,-1.9,-13.52%,120,132,69,25.48%,-0.3459,Put,6/03/2025,,
"1,202.50",-1.27%,12.65,13.05,13.45,13,-2.05,-13.62%,20,31,16,25.38%,-0.3638,Put,6/03/2025,,
