Strike,Moneyness,Bid,Mid,Ask,Last,Change,%Chg,Volume,Open Int,OI Chg,IV,Delta,Type,Last Trade,Current Stock Price,Expiry Time (d)
126,6.94%,12.05,12.1,12.15,12,0.29,2.48%,408,"1,359",14,62.61%,0.75208,Call,05/16/25,135.4,13
127,6.20%,11.3,11.38,11.45,11.28,0.13,1.17%,671,"2,677",4,62.32%,0.7312,Call,05/16/25,,
128,5.47%,10.65,10.7,10.75,10.61,0.12,1.14%,489,"6,131",-219,62.36%,0.70867,Call,05/16/25,,
129,4.73%,9.95,10.02,10.1,10.01,0.31,3.20%,635,"1,873",-4,61.96%,0.68642,Call,05/16/25,,
130,3.99%,9.35,9.4,9.45,9.44,0.09,0.96%,"7,023","34,503","-2,738",62.61%,0.66149,Call,05/16/25,,
131,3.25%,8.7,8.77,8.85,8.65,0.08,0.93%,654,773,474,61.97%,0.63836,Call,05/16/25,,
132,2.51%,8.15,8.2,8.25,8.15,0.2,2.52%,504,"1,261",656,61.51%,0.61422,Call,05/16/25,,
133,1.77%,7.55,7.6,7.65,7.6,0.25,3.40%,"1,254","1,485",499,61.56%,0.58909,Call,05/16/25,,
134,1.03%,7.05,7.1,7.15,7,0.01,0.14%,"4,625","2,847","1,293",61.86%,0.56376,Call,05/16/25,,
135,0.30%,6.5,6.55,6.6,6.6,0.05,0.76%,"14,155","28,978",184,61.90%,0.53857,Call,05/16/25,,
136,-0.44%,6.05,6.1,6.15,6.1,unch,unch,"5,966","2,171","1,259",61.69%,0.51331,Call,05/16/25,,
137,-1.18%,5.55,5.63,5.7,5.6,-0.05,-0.88%,"3,186","1,431",676,61.24%,0.48778,Call,05/16/25,,
138,-1.92%,5.15,5.2,5.25,5.2,-0.05,-0.95%,"1,601","1,498",989,61.52%,0.4631,Call,05/16/25,,
139,-2.66%,4.75,4.8,4.85,4.75,-0.15,-3.06%,690,"1,337",207,61.07%,0.4377,Call,05/16/25,,
140,-3.40%,4.35,4.4,4.45,4.4,-0.06,-1.35%,"15,360","37,171","3,318",61.37%,0.41396,Call,05/16/25,,
141,-4.14%,4,4.05,4.1,4.05,-0.02,-0.49%,700,"1,286",776,61.45%,0.39038,Call,05/16/25,,
142,-4.87%,3.65,3.7,3.75,3.7,-0.1,-2.63%,"1,205","1,243",752,61.29%,0.36676,Call,05/16/25,,
143,-5.61%,3.35,3.4,3.45,3.37,-0.08,-2.32%,659,"1,024",776,61.11%,0.3436,Call,05/16/25,,
144,-6.35%,3.05,3.1,3.15,3.1,-0.1,-3.13%,"1,486",441,119,61.34%,0.32244,Call,05/16/25,,
145,-7.09%,2.81,2.83,2.85,2.82,-0.13,-4.41%,"8,150","18,231",721,61.25%,0.30096,Call,05/16/25,,
126,-6.94%,2.54,2.57,2.59,2.57,-0.36,-12.29%,809,"3,453",175,63.32%,-0.25044,Put,05/16/25,,
127,-6.20%,2.83,2.86,2.88,2.9,-0.35,-10.77%,"2,495","1,704",161,63.13%,-0.27148,Put,05/16/25,,
128,-5.47%,3.1,3.15,3.2,3.15,-0.5,-13.70%,513,"1,816",-43,62.80%,-0.293,Put,05/16/25,,
129,-4.73%,3.45,3.5,3.55,3.53,-0.57,-13.90%,218,"1,581",-255,63.17%,-0.31675,Put,05/16/25,,
130,-3.99%,3.8,3.85,3.9,3.85,-0.5,-11.49%,"9,556","14,735","1,641",62.61%,-0.33925,Put,05/16/25,,
131,-3.25%,4.2,4.25,4.3,4.35,-0.45,-9.38%,528,749,535,62.66%,-0.36341,Put,05/16/25,,
132,-2.51%,4.6,4.65,4.7,4.65,-0.5,-9.71%,"1,413",664,180,62.45%,-0.38763,Put,05/16/25,,
133,-1.77%,5.05,5.1,5.15,5.13,-0.53,-9.36%,613,"1,935","1,565",62.80%,-0.41267,Put,05/16/25,,
134,-1.03%,5.5,5.55,5.6,5.55,-0.45,-7.50%,"1,074","7,403",190,62.29%,-0.43737,Put,05/16/25,,
135,-0.30%,6,6.05,6.1,6,-0.65,-9.77%,"3,736","10,102","3,763",61.84%,-0.46258,Put,05/16/25,,
136,0.44%,6.5,6.55,6.6,6.55,-0.6,-8.39%,"1,454",470,211,62.12%,-0.48766,Put,05/16/25,,
137,1.18%,7.05,7.1,7.15,7.05,-0.7,-9.03%,"1,023","9,572","2,534",61.67%,-0.5131,Put,05/16/25,,
138,1.92%,7.6,7.65,7.7,7.7,-0.85,-9.94%,111,58,11,62.45%,-0.53699,Put,05/16/25,,
139,2.66%,8.2,8.25,8.3,8.34,-0.66,-7.33%,221,63,16,62.00%,-0.56212,Put,05/16/25,,
140,3.40%,8.85,8.88,8.9,9,-0.55,-5.76%,573,"1,209",41,62.07%,-0.58608,Put,05/16/25,,
141,4.14%,9.45,9.5,9.55,9.71,-0.84,-7.96%,59,11,4,61.90%,-0.61019,Put,05/16/25,,
142,4.87%,10.1,10.18,10.25,10.3,-0.72,-6.53%,31,53,12,62.01%,-0.63312,Put,05/16/25,,
143,5.61%,10.8,10.85,10.9,11.33,-0.27,-2.33%,80,102,11,61.89%,-0.65595,Put,05/16/25,,
144,6.35%,11.5,11.55,11.6,11.75,-0.85,-6.75%,82,50,40,61.81%,-0.67811,Put,05/16/25,,
145,7.09%,12.2,12.27,12.35,12.37,-0.78,-5.93%,273,581,97,61.78%,-0.6993,Put,05/16/25,,
Downloaded from Barchart.com as of 05-18-2025 05:59pm CDT,,,,,,,,,,,,,,,,
